V0: 
     angle |         v0 |       time |   distance
-----------+------------+------------+-----------
         0 |      0.000 |      0.000 |      0.000
         5 |      0.000 |      0.000 |      0.000
        10 |      0.000 |      0.000 |      0.000
        15 |      0.000 |      0.000 |      0.000
        20 |      0.000 |      0.000 |      0.000
        25 |      0.000 |      0.000 |      0.000
        30 |      0.000 |      0.000 |      0.000
        35 |      0.000 |      0.000 |      0.000
        40 |      0.000 |      0.000 |      0.000
        45 |      0.000 |      0.000 |      0.000
        50 |      0.000 |      0.000 |      0.000
        55 |      0.000 |      0.000 |      0.000
        60 |      0.000 |      0.000 |      0.000
        65 |      0.000 |      0.000 |      0.000
        70 |      0.000 |      0.000 |      0.000
        75 |      0.000 |      0.000 |      0.000
        80 |      0.000 |      0.000 |      0.000
        85 |      0.000 |      0.000 |      0.000
        90 |      0.000 |      0.000 |      0.000
