V0: 
     angle |         v0 |       time |   distance
-----------+------------+------------+-----------
         0 |    500.000 |      0.000 |      0.000
         5 |    500.000 |      8.884 |   4425.285
        10 |    500.000 |     17.701 |   8716.110
        15 |    500.000 |     26.383 |  12742.100
        20 |    500.000 |     34.864 |  16380.928
        25 |    500.000 |     43.080 |  19522.030
        30 |    500.000 |     50.968 |  22069.964
        35 |    500.000 |     58.469 |  23947.314
        40 |    500.000 |     65.524 |  25097.038
        45 |    500.000 |     72.080 |  25484.200
        50 |    500.000 |     78.088 |  25097.038
        55 |    500.000 |     83.502 |  23947.314
        60 |    500.000 |     88.280 |  22069.964
        65 |    500.000 |     92.386 |  19522.030
        70 |    500.000 |     95.789 |  16380.928
        75 |    500.000 |     98.463 |  12742.100
        80 |    500.000 |    100.388 |   8716.110
        85 |    500.000 |    101.549 |   4425.285
        90 |    500.000 |    101.937 |      0.000
